How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Not open at all,Yes,Fear of discrimination,Stigma,37.0,Male
26-100,1.0,No,Yes,None did,I don't know,Yes,Yes,I don't know,Neutral,No,Fear of discrimination,Stigma,31.0,m
More than 1000,0.0,No,I don't know,None did,I don't know,No,No,No,Somewhat not open,No,Not their business,Not their business,42.0,Male
500-1000,1.0,No,Yes,Some did,I don't know,No,Maybe,No,Neutral,No,Risk of losing consideration for a position ,Could contribute to employment decision (legal or not) ,25.0,Male
6-25,1.0,No,Yes,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,My physical health issues are obvious from my appearance.,It would be judged as a risk.,27.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,No,Very open,No,They might think I'm a hypochondriac,They might think I'm a complainer,41.0,Female
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,Yes,Fear of discrimination,None of their business as long as I feel I can perform my work ,41.0,Female
More than 1000,0.0,Yes,Yes,None did,I don't know,No,No,I don't know,Not applicable to me (I do not have a mental illness),Maybe,They may not hire me thinking I might take time off from work. ,Supervisors don't like to deal with those sort of issues.,55.0,F
More than 1000,1.0,Yes,Yes,I don't know,I don't know,Yes,Yes,No,Somewhat open,Yes,Generally not applicable to my job,"Potentially frowned upon
",21.0,Male
More than 1000,0.0,Yes,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,Fear of discrimination,Stigma,37.0,male
More than 1000,0.0,No,Yes,None did,Sometimes,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,Only if it would affect my future work.,Only if it is relevant for the work.,34.0,female
More than 1000,0.0,No,I don't know,None did,I don't know,Maybe,No,I don't know,Somewhat not open,Maybe,Fear of discrimination,Stigma,40.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat open,Yes,"If it impacts the work, they should know about it.","If it impacts the work, they should know about it.",25.0,male
More than 1000,0.0,Yes,I don't know,I don't know,I don't know,Maybe,No,No,Not applicable to me (I do not have a mental illness),Yes,Fear of discrimination,Stigma,36.0,male
26-100,1.0,No,No,None did,Sometimes,Maybe,No,No,Somewhat open,Maybe,"I don't know, I've never had a physical health issue that would need bringing up, so I don't know how I'd react in that situation","I'm not sure if it'd harm my chances, but I wouldn't want to give anyone more reason to not hire me",25.0,Male
100-500,1.0,No,I don't know,I don't know,I don't know,No,No,No,Somewhat open,Maybe,If it was a long term issue that would require special accommodations on their part.,Would be concerned at the negative stigma,35.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,Maybe,I don't know,Somewhat open,Maybe,"Could impact their willingness to hire, even subconsciously.",Stigma.,37.0,male
More than 1000,0.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat not open,No,Would risk not getting the job.,Stigma,45.0,Male
6-25,1.0,No,No,None did,Sometimes,Yes,Yes,Yes,Not open at all,No,Fear of discrimination,Stigma,26.0,Male
26-100,1.0,No,Yes,None did,I don't know,No,No,No,Somewhat open,Maybe,I wouldn't want it to affect my ability to get the position,I feel it would negatively effect my ability to get the position,23.0,Male
26-100,1.0,No,Yes,None did,Sometimes,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,22.0,Female
26-100,1.0,No,I don't know,I don't know,I don't know,Yes,Yes,Yes,Somewhat open,No,I would be afraid it would negatively impact my chances.,I would be afraid it would negatively impact my chances.,46.0,Female
6-25,1.0,Yes,Yes,None did,I don't know,No,No,No,Neutral,Yes,I would want to make sure expectations were set clearly at the start,I would want to set expectations of my ability from the start,31.0,Male
100-500,1.0,I don't know,I don't know,None did,I don't know,Yes,Maybe,Yes,Very open,Yes,Fear of discrimination,Stigma,27.0,Male
6-25,1.0,No,I don't know,None did,I don't know,No,Maybe,I don't know,Very open,Maybe,Fear of discrimination,It might be important to know how they react to such things.,37.0,male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Maybe,Depends if it's relevant,depends if it's relevant,37.0,Male
1-5,1.0,Yes,I don't know,None did,"Yes, always",Maybe,Yes,No,Somewhat open,Maybe,Fear of discrimination,Usually not relevant,26.0,Other/Transfeminine
500-1000,1.0,No,Yes,None did,I don't know,No,No,Yes,Not applicable to me (I do not have a mental illness),No,I have RSI and don't want them to think I'm not worth investing in.,It's none of their business until it affects my work,23.0,M
26-100,1.0,No,Yes,None did,No,Yes,Yes,Yes,Somewhat open,Maybe,I had brain surgery in 1997. Bringing that up is pretty much a no job. On top of that hell they want to look at your DNA first these days. Sad days.,That is a slippery slope. In my opinion your chances of getting the job are much less if you bring up mental health issues.,40.0,Male
1-5,1.0,No,No,None did,Sometimes,No,No,No,Somewhat open,Yes,They're usually temporary and you know when it'll be gone,"I don't have one, so it's hard to relate",29.0,M
100-500,1.0,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,Somewhat open,Maybe,Concern it could overshadow legit issues,Concern it could overshadow other issues,37.0,Male
100-500,1.0,I don't know,Yes,Some did,"Yes, always",No,Maybe,Yes,Not applicable to me (I do not have a mental illness),Maybe,"Depending on how strong my position as interviewee is, I might prefer to wait until the offer stage rather than bring it up at interview","I would likely prefer to wait until the offer stage to discuss mental health issue / accommodations, rather than in the interview",34.0,female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Very open,Maybe,I don't really know. It would depend on my impressions at the time.,same,40.0,male
500-1000,1.0,No,I don't know,None did,I don't know,Maybe,Yes,No,Very open,Yes,Fear of discrimination,Wouldn't want marks against me,39.0,Male
500-1000,1.0,I don't know,I don't know,I don't know,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,28.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,No,Somewhat open,Maybe,To avoid not being hired,It depends on how open the potential employer is about mental health,28.0,male
26-100,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat not open,Maybe,Fear of discrimination,Stigma,27.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,No,Somewhat open,Maybe,Fear of discrimination,Stigma,48.0,Male
More than 1000,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,No,Somewhat open,Maybe,If it would make me seem less suitable for a job,If it would make me seem less suitable for the job,49.0,Female
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Very open,Yes,I'd want to be honest and up-front with a potential employer.,I'd worry that the reaction would not be one of understanding and that it would count against me during the selection process.,35.0,Male
100-500,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Very open,Maybe,Fear of discrimination,Stigma,35.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Not open at all,Yes,"I would feel OK discussing physical health, mainly because it can be diagnosed and corroborated by a doctor.","It hard. There is still a stigma around mental health problems and people faking it, certainly around my home town.",38.0,Male
500-1000,1.0,Yes,Yes,None did,"Yes, always",No,Yes,Yes,Neutral,Yes,Fear of discrimination,Stigma,32.0,Male
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Somewhat not open,Maybe,It depends on the nature of the issue and how it may impact my ability to work.,I would not because I am very concerned that it would negatively affect my chances for employment.,42.0,Male
100-500,1.0,No,Yes,None did,I don't know,Maybe,Yes,Yes,Somewhat open,Maybe,"I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.","I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.",33.0,female
26-100,1.0,No,Yes,Some did,I don't know,No,No,No,Very open,Yes,"It's best to be up front about stuff if possible - if the employer is aware, then it is easier to judge their attitude towards it (positive or negative) before accepting a position.",Same as physical health reason really. Coupled with the fact that nowadays I feel it's even more important to highlight mental health issues rather than sweeping under the carpet.,35.0,Male
500-1000,1.0,No,Yes,None did,I don't know,Maybe,Maybe,No,Somewhat open,No,Fear of discrimination,Stigma,24.0,M
500-1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,No,Wouldn't want to risk not getting the job - i'd wait until I was hired,Because I am open about being a mental health advocate - it's one of the reasons I am good at my job.,29.0,Female or Multi-Gender Femme
100-500,1.0,No,I don't know,None did,I don't know,Maybe,Yes,No,Somewhat open,Yes,Fear of discrimination,Stigma.,29.0,Male
6-25,1.0,No,No,None did,I don't know,No,No,No,Somewhat not open,Maybe,if it wasn't relevant,if it wasn't relevant,24.0,Male
500-1000,1.0,Yes,I don't know,None did,I don't know,No,Maybe,Yes,Very open,Yes,Fear of discrimination,Stigma,30.0,Male
26-100,1.0,No,I don't know,Some did,I don't know,Yes,Yes,No,Very open,No,Wouldn't want that to be counted against me when compared to other candidates.,"Again, wouldn't want it to be held against me compared to other candidates.",30.0,male
6-25,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,Yes,Somewhat open,Yes,Fear of discrimination,Stigma,44.0,male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Neutral,Maybe,"It might not particularly be seen as a ""good"" thing to bring it up.",Same reason as above,37.0,Male
500-1000,1.0,No,I don't know,None did,"Yes, always",No,No,No,Somewhat open,No,Fear of discrimination,Stigma,28.0,Male
100-500,1.0,I don't know,Yes,Some did,I don't know,No,Yes,Yes,Neutral,Maybe,"It would depend on the issue, and whether or not I think it would impact the work I do",Depends on whether or not I feel it would impact my ability to do the work on a regular basis.,42.0,Male
1-5,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,Somewhat open,Maybe,Depends whether it would affect my ability to carry out the job.,Stigma.,30.0,female
100-500,1.0,No,I don't know,None did,Sometimes,Maybe,Maybe,No,Somewhat not open,Maybe,Fear of discrimination,Stigma,36.0,m
500-1000,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Yes,"If it may affect my productivity, my employer should know about it","Same reason, it may affect my productivity.",30.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,Fear of discrimination,Stigma,29.0,Male
500-1000,1.0,I don't know,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,Fear of discrimination,Stigma,25.0,male
26-100,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Yes,"Yes, Is important if can affect work.","Yes, If can affect work",25.0,Male
500-1000,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Maybe,Because it might be important for the employer in case it affects my productivity.,Stigma,24.0,Male
More than 1000,1.0,No,No,None did,I don't know,Yes,Yes,No,Somewhat open,Yes,cos i don't have any physical health problems,cos I have a lot of crap in my head and i am ashamed about it,25.0,m
26-100,1.0,No,Yes,None did,"Yes, always",Yes,Yes,I don't know,Very open,Yes,Fear of discrimination,I like to be open about it up front ,31.0,Male 
26-100,1.0,No,I don't know,"Yes, they all did",Sometimes,No,No,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,37.0,M
100-500,1.0,No,I don't know,I don't know,I don't know,No,No,No,Somewhat open,Maybe,Only if it would require immediate accommodation.,Only if it required immediate accommodation.,35.0,Male
6-25,1.0,Yes,Yes,None did,No,No,Yes,Yes,Not open at all,No,"Less chances of getting the job, I think","Less chances of getting the job, plus negative references for the future.",26.0,female
100-500,1.0,No,Yes,None did,Sometimes,No,No,I don't know,Somewhat open,Maybe,In the interview I'm still trying to present the best image of myself and that may damage it (rightly or wrongly),Mental health is still stigmatised enough and not protected enough it could result in my not getting a job I wanted.,31.0,Male
500-1000,1.0,No,I don't know,Some did,I don't know,No,Maybe,Yes,Somewhat not open,No,Unless it's something obvious like I'm disabled,Seems too private to share,29.0,female
26-100,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,Neutral,Maybe,I would think they don't care about it,I imagine they will dismiss my application,33.0,M
26-100,1.0,No,No,None did,No,No,No,No,Somewhat not open,Maybe,It would depend on how relevant it would be. ,I don't know if I would do that. ,30.0,M
26-100,1.0,No,I don't know,None did,I don't know,Maybe,Yes,I don't know,Somewhat open,Yes,Because it's common,Not sure. That would depend a lot on the company I would be interviewing with.,30.0,M
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,"unless it directly affects my ability to do the job, it is irrelevant",same reason as above. it's my problem and my business alone.,29.0,female
26-100,1.0,No,No,None did,I don't know,Yes,Yes,I don't know,Not open at all,No,That should not be a deciding factor when they choose to hire me or not. Why does my physical issue need to be pointed out if its not going to effect my job. ,They absolutely do not need to know this before i start. I feel like this is a huge HR issue and the less they know the better honestly. I am very dyslexic  and  have a learning disability but it does not effect how i preform at my job,25.0,Female
More than 1000,0.0,Yes,Yes,None did,I don't know,No,Yes,Yes,Somewhat open,Yes,I prefer to keep nothing hidden,I prefer to keep nothing hidden,27.0,Male
500-1000,1.0,No,Yes,None did,I don't know,No,No,No,Somewhat not open,Yes,Fear of discrimination,Stigma,26.0,Male
500-1000,1.0,I don't know,Yes,Some did,"Yes, always",No,No,Yes,Very open,Yes,"If it was something that affected my work, yes.",Stigma.,38.0,Female
More than 1000,1.0,Yes,No,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,Cultural bias and potential elimination from consideration.,Feel it would prevent hire. Only if asked point blank.,49.0,Male
26-100,1.0,No,Yes,Some did,"Yes, always",No,No,Yes,Very open,Yes,"Honesty, always the best policy, even if it means I don't get the job.","Same as any issue, I'm looking for employers that enjoy me exactly as I am. Not some glossed up version of myself",30.0,Male
More than 1000,1.0,No,I don't know,I don't know,I don't know,Maybe,No,I don't know,Not applicable to me (I do not have a mental illness),Yes,because every one should work in an healthy and safe place ...,depending of the place and the mental health issue ...,34.0,male
100-500,1.0,No,I don't know,None did,No,No,No,No,Somewhat not open,Maybe,Fear of discrimination,Stigma,31.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Yes,Yes,Somewhat not open,Maybe,Completely depends upon what the issue would be.,Has the potential to look like you are whining.,29.0,Male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Maybe,It might affect my performance and workplace,It might affect my performance and relations with the colleagues,31.0,m
100-500,1.0,Yes,I don't know,I don't know,I don't know,Maybe,Maybe,I don't know,Somewhat open,Maybe,Fear of discrimination,Stigma,34.0,male
6-25,1.0,No,I don't know,None did,No,No,Yes,No,Somewhat open,Maybe,Fear of discrimination,If the employer made it clear they expected crunch time I would want to discuss stress related issues. ,28.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,Neutral,Yes,It affects my work ,"I'm already a minority in tech, definitely wouldn't get the job if also sick ",35.0,Female 
500-1000,1.0,No,I don't know,None did,I don't know,No,No,I don't know,Somewhat open,No,Fear of discrimination,Stigma,27.0,Male 
More than 1000,1.0,No,I don't know,None did,I don't know,No,Maybe,No,Somewhat not open,Maybe,Fear of discrimination,Stigma,33.0,m
6-25,1.0,No,I don't know,Some did,"Yes, always",Maybe,Maybe,I don't know,Neutral,Maybe,I'd be concerned that it would negatively affect my employment opportunity.,I'd be concerned that it would negatively affect my employment opportunity.,37.0,Female
More than 1000,1.0,Yes,Yes,None did,I don't know,Yes,Yes,No,Somewhat open,Maybe,If it looked like you'd take a lot of time off or die soon,Because they wouldn't employ you,45.0,Male
6-25,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Somewhat open,No,I wouldn't want to knowingly generate bias against me in an interview.,I wouldn't want to knowingly generate bias against me in an interview.,31.0,woman
More than 1000,0.0,No,I don't know,None did,No,No,Maybe,No,Not applicable to me (I do not have a mental illness),No,I want to get hired,I want to get hired,36.0,M
500-1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,"no stigma, high probability of sympathy/understanding",uncertainty about their reaction,30.0,M
More than 1000,1.0,Yes,Yes,Some did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,I don't require accommodations and I'm afraid of discrimination. ,Fear of discrimination.,33.0,female
500-1000,1.0,No,I don't know,None did,No,Yes,Yes,I don't know,Not open at all,Yes,Fear of discrimination,"Even with more education on mental health, there is still a stigma and negative outcome in the work place if one is known to be 'on medication'.",45.0,female
26-100,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,I prefer to keep my health information private as long as it is not actively affecting my job performance at the time of the interview.,"I need to establish trust with my employer before I would be willing to discuss my mental health, especially if it was not actively affecting my work performance at the time of the interview.",30.0,Female
26-100,1.0,Yes,Yes,None did,Sometimes,Yes,Yes,Yes,Somewhat not open,Maybe,seems wrong,No one wants to hire a crazy person,30.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,"It might make them less likely to hire me, e.g. because of cost of health insurance.","It might make them doubt my reliability or performance, and so be less likely to hire me.",29.0,Male
1-5,0.0,Yes,No,None did,I don't know,No,No,Yes,Very open,Maybe,Only got ask,Only if got ask,36.0,Male
26-100,1.0,Yes,Yes,Some did,I don't know,Maybe,Yes,Yes,Somewhat open,Maybe,I worry it would affect my chances of employment.,I worry it would affect my chances of employment,28.0,Male
26-100,1.0,I don't know,I don't know,Some did,"Yes, always",Yes,Yes,No,Somewhat open,No,"Naturally, I'd be afraid that they wouldn't hire me.","Naturally, I'd be afraid that they wouldn't hire me.",36.0,Male
500-1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,Yes,Somewhat not open,Yes,Fear of discrimination,Stigma,37.0,female
26-100,1.0,No,Yes,Some did,Sometimes,Maybe,Yes,Yes,Very open,No,I wouldn't feel comfortable discussing my personal health and would not want to appear weak.,I would not want to appear weak or unstable.,29.0,Male
26-100,1.0,I don't know,Yes,Some did,Sometimes,Yes,Yes,Yes,Somewhat open,No,"My interview process involves checking my baggage at the door. If it's someplace I wouldn't feel comfortable bringing that type of thing up after being hired, I don't want to be interviewing there anyway. Trust.","Again, check my baggage at the door. My ADHD and general anxiety are well-managed enough that most of the time, they'll never have to worry about it anyway. At the same time, I'm proactive about bringing it up at my current gig, because I don't want it to be a ""new thing"" if I'm suddenly in a bad way.",25.0,Male
26-100,1.0,Yes,Yes,Some did,I don't know,No,No,No,Somewhat open,No,Fear of discrimination,Stigma,34.0,f
More than 1000,0.0,Yes,Yes,Some did,I don't know,No,No,No,Very open,Maybe,"despite the fact that the Canadian human rights act forbids discrimination based on mental or physical health, many public sector companies will try to cross the line by asking questions that touch on health as a way to minimize insurance premium costs",Same as above,37.0,M
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,"I've always been coached that it's not appropriate to discuss anything like that, as it may adversely impact the interview.",See above,40.0,Female
100-500,1.0,Yes,I don't know,None did,No,Maybe,Maybe,No,Very open,No,Fear of discrimination,Stigma,32.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,Maybe,No,Somewhat open,Maybe,Not risk mot getting the job in case they thought I would be off work more often,Stigma,38.0,Male
26-100,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,"If I felt it would decrease the odds of getting the position, I'd probably omit the information.","The stigma of mental illness is something that I am not sure I feel most employers would be willing to look past in an interview. I'm already a woman, which some view as a burden (will she need to leave for childcare? is she as capable of this job as her male counterparts?) and adding the additional 'burden' of having a mental health issue seems like it'd stack the cards against me.",31.0,Female
26-100,1.0,I don't know,Yes,None did,"Yes, always",No,No,Yes,Somewhat open,Maybe,Never know how they coudl take it? ,Never know what they will do with that information,28.0,female
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat not open,Yes,"I think they would see it as temporary, maybe even view you as hardy/resilient",Because the employer would use it to measure how competent/high maintenance I was,27.0,female
26-100,1.0,No,Yes,None did,I don't know,Yes,Yes,No,Somewhat not open,Maybe,Fear of discrimination,Stigma,28.0,female
6-25,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,Somewhat not open,No,Fear of discrimination,Stigma,26.0,Male
26-100,1.0,Yes,Yes,Some did,I don't know,No,Yes,Yes,Very open,Yes,Fear of discrimination,Stigma,40.0,Male
More than 1000,1.0,Yes,Yes,Some did,Sometimes,Yes,Yes,No,Somewhat open,Maybe,Really depends on the vibe that I got from the interview.,I'd have to feel it out in the interview and see if I felt comfortable discussing it. It's a tough call. I wish I could just feel comfortable doing it all the time. ,42.0,Male
26-100,1.0,I don't know,I don't know,None did,I don't know,No,No,I don't know,Neutral,No,"Even though not legal, it could be a factor in hiring. Also, none of their business.",See previous.,36.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,Yes,Very open,Maybe,depends  if  it  would affect my  work,suspect it would  stop  me  getting  job,44.0,male
500-1000,1.0,No,I don't know,None did,I don't know,Yes,Maybe,I don't know,Somewhat open,Yes,Physical health issues are more socially/culturally acceptable and would not reflect as poorly on the interviewee as a mental health issue.,Stigma,24.0,Male
100-500,0.0,No,I don't know,"Yes, they all did","Yes, always",Maybe,Maybe,I don't know,Not open at all,Yes,Physical issues are relatively well understood by anyone I've ever mentioned them to.,I feel as if there is a stigma against mental health issues in general. I am loathe to even discuss it with my wife.,44.0,Male
More than 1000,1.0,I don't know,I don't know,Some did,I don't know,Yes,No,No,Somewhat open,Maybe,Fear of discrimination,Stigma,31.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Yes,Yes,Very open,Yes,Depends on whether it would put me in the position of needing to ask for accommodations.,I wouldn't know if I needed accommodations. Also shame. Probably more shame.,49.0,m
26-100,1.0,Yes,Yes,None did,I don't know,No,No,Yes,Somewhat open,Maybe,I'd only bring it up in an interview if the issue required accommodation.,I'd only bring it up if I felt comfortable & also would need accommodations. But probably a lot less likely to bring it up than a physical health issue.,27.0,female/woman
More than 1000,1.0,I don't know,I don't know,None did,No,No,Maybe,Yes,Not open at all,Maybe,Fear of discrimination,"My problem to work with, not theirs",27.0,Cis male
100-500,1.0,No,I don't know,None did,I don't know,No,Yes,No,Not applicable to me (I do not have a mental illness),No,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).","Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",28.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Maybe,Yes,Yes,Somewhat open,No,I wouldn't want to bring up anything that may trigger unconscious bias and therefore hinder my chances of receiving a job,Mental health issues are still a taboo subject.,20.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,41.0,Male 
100-500,0.0,No,I don't know,Some did,I don't know,Yes,Yes,I don't know,Somewhat not open,No,Not relevant,Fear of discrimination ,38.0,Male
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Somewhat not open,No,"It's my problem, not theirs.","It's my problem, not theirs.",29.0,male
100-500,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,Somewhat open,Yes,"there's no stigma to saying you have an rsi, a heart condition, etc.",because it gets equated with mental competency and makes you look bad,44.0,f
500-1000,1.0,No,I don't know,I don't know,I don't know,No,No,I don't know,Somewhat open,Yes,"If it was something actually relevant to the job I was interviewing for, of course I would bring it up.","If I thought that it was relevant to the job I was interviewing for, I would bring it up.",31.0,Male.
6-25,1.0,No,No,None did,No,Yes,Yes,Yes,Somewhat open,No,Fear of discrimination,Fear of discrimination,54.0,m
500-1000,1.0,No,I don't know,None did,I don't know,No,No,Yes,Neutral,Maybe,Fear of discrimination,Stigma,33.0,m
6-25,1.0,No,No,"Yes, they all did",I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,depends if I feel comfortable enough,depends if I feel comfortable enough,29.0,male
26-100,1.0,No,I don't know,None did,I don't know,Maybe,Yes,I don't know,Not applicable to me (I do not have a mental illness),Yes,It wouldn't affect day-to-day activities,Stigma,26.0,Androgynous
26-100,1.0,Yes,I don't know,None did,I don't know,Maybe,Maybe,Yes,Somewhat open,Maybe,Only if it would affect performance.,Stigma,26.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Maybe,I don't know,Somewhat not open,No,Not of their business,It's not of their business,34.0,Male
100-500,1.0,No,I don't know,Some did,I don't know,Maybe,Yes,Yes,Somewhat open,No,That is none of their business and it would affect their decision regardless of policy,It would affect their decision regardless of policy ,38.0,Female
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,30.0,Male
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Not open at all,Maybe,If it does not affect my job then it is not their concern,I believe there would be a conscious/unconscious bias against me.,34.0,Male
More than 1000,1.0,No,Yes,Some did,"Yes, always",Yes,Yes,Yes,Very open,Maybe,Dependent upon impact on work duties.,I often do not disclose.,47.0,F
100-500,0.0,Yes,I don't know,None did,No,No,Maybe,Yes,Very open,Yes,physical health is not always a reason to not being able to work,There is mental health issues in my family,33.0,Female
More than 1000,0.0,No,I don't know,None did,I don't know,No,No,No,Neutral,No,Wouldn't feel comfortable telling them.,Would feel it may have an effect on the chance of employment,22.0,Male
6-25,1.0,No,No,None did,I don't know,Maybe,Yes,I don't know,Not applicable to me (I do not have a mental illness),Maybe,they might think i'd be a high-maintenance or expensive hire,"it would depend on the severity of the condition, and to what extent it would affect my capability to work",28.0,"male 9:1 female, roughly"
500-1000,1.0,Yes,Yes,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,"It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.","It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.",31.0,m
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,24.0,Male
1-5,0.0,No,I don't know,None did,I don't know,No,Maybe,No,Neutral,Yes,Because I'd die if I had to physically work beyond my capacity.,Mental health is not seen as an issue by most employers.,56.0,m
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,It depends on how permanent the issue is likely to be.,Mental health is either not taken as seriously as physical health or is viewed negatively.,57.0,F
100-500,1.0,No,Yes,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,"It wouldn't affect my ability to perform the work, so would be unlikely to affect the outcome of an interview","It _may_ affect the outcome of an interview, so I'd be reluctant to bring it up",39.0,M
1-5,1.0,I don't know,I don't know,None did,"Yes, always",No,Yes,Yes,Somewhat not open,Maybe,It could affect my application.,I need to know they understand. I don't want to work for someone who doesn't understand.,21.0,Male
500-1000,1.0,No,I don't know,None did,I don't know,No,No,No,Very open,No,I don't think i need it,I don't think I need it.,31.0,female
More than 1000,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,No,Neutral,Maybe,Unspoken prejudices,Would be too much of a negative,63.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,My physical health directly impacts my productivity and is a factor I consider in any value proposition with an employer.,My physical health problems are less stigmatized. ,46.0,male
